CustomerID,TransactionDate,TransactionAmount
1,2023-10-31,518.4440920680591
1,2024-07-31,353.79619695372105
1,2024-01-31,38.206590529597
1,2024-06-30,724.9294227642899
2,2022-02-28,145.61599952465082
3,2020-06-30,487.28545846335845
3,2022-10-31,299.98529805686144
4,2021-07-28,22.300978247341003
4,2021-11-28,322.891562880283
4,2021-02-28,103.10510129737467
4,2021-02-28,247.44027242574188
4,2023-01-28,357.02814835034997
4,2021-06-28,42.25982374078782
5,2019-06-30,546.5262711996218
5,2018-10-31,10.352652519188881
5,2019-06-30,524.7677116019515
5,2019-01-31,217.4951687099791
5,2018-12-31,386.1183483792035
5,2020-12-31,571.6494935768577
6,2024-02-29,307.7977814311301
6,2022-10-30,8.00911525941223
6,2023-02-28,320.6439735199202
6,2022-09-30,91.91351118667404
7,2018-06-30,411.7884083390809
7,2019-02-28,251.73008410049013
7,2019-07-30,141.97743496225405
8,2018-10-30,306.46082505818254
8,2019-04-30,927.1064844588506
8,2019-08-30,51.433561872771435
8,2018-07-30,208.97532176790455
9,2023-01-30,375.11961325882567
9,2024-07-30,74.9467288846136
9,2023-07-30,273.7227529851718
10,2019-03-31,468.4979287207806
10,2019-12-31,377.66051119985804
10,2019-06-30,144.3987091657008
10,2020-03-31,108.75309737380798
10,2020-01-31,462.9433786649532
11,2024-04-30,247.3643290152833
11,2024-08-31,339.04169856895385
12,2022-11-30,124.15189205819202
12,2023-11-30,50.254665310630365
12,2022-10-30,102.13147809341464
12,2024-01-30,251.6960668416402
13,2024-03-31,490.00556266984086
13,2023-01-31,213.1214284994057
13,2023-05-31,231.4903632888492
13,2022-08-31,92.83697466007271
13,2022-10-31,85.13312088726984
13,2022-08-31,168.9222306977136
13,2024-03-31,684.0438595493276
14,2018-09-30,393.151955220337
14,2019-10-31,452.21141843857487
15,2022-03-31,495.0853968539766
15,2023-05-31,96.2463196839657
15,2022-05-31,85.97070870854428
15,2023-02-28,190.7176027311156
15,2022-11-30,129.7083870957946
15,2022-05-31,203.7708977369678
16,2022-12-31,114.54890834964273
16,2022-10-31,127.93455228541262
16,2022-11-30,261.0416630149466
16,2024-05-31,378.5428929643537
16,2024-02-29,592.0446320633033
17,2024-03-30,291.6946748272176
17,2023-08-30,224.50301231313273
17,2023-05-30,473.571807904303
17,2024-01-30,450.10727930044436
17,2023-05-30,503.0040442643956
18,2021-10-29,276.6375383939305
18,2020-07-29,172.70738722167158
18,2023-01-29,309.0786838416581
19,2022-11-30,311.1947499502302
19,2023-05-31,790.6874891019532
20,2022-09-30,110.8885862066128
20,2023-12-31,241.44593168051014
20,2021-09-30,201.19524802819677
20,2020-07-31,707.0340830455575
20,2022-09-30,96.39421316303553
21,2023-10-30,37.521491252697025
21,2024-05-30,459.25676392683584
22,2019-02-28,159.88957918271464
22,2022-07-31,155.4370782162126
22,2019-04-30,237.3823828562603
23,2022-06-30,294.4093850824715
23,2019-11-30,57.03769851535725
23,2020-02-29,306.25112169314457
23,2020-03-30,235.07314833075057
23,2019-07-30,619.288321599089
23,2019-06-30,633.7148572192302
