Fecha,Ventas
2019-10-31 11:48:50.173779,3929.2987270178446
2019-11-30 11:48:50.173779,4250.388934607999
2019-12-31 11:48:50.173779,5295.721283526914
2020-01-31 11:48:50.173779,5678.5829338590465
2020-02-29 11:48:50.173779,5839.616780406198
2020-03-31 11:48:50.173779,6278.066311444572
2020-04-30 11:48:50.173779,5775.915563397458
2020-05-31 11:48:50.173779,5844.8095625089945
2020-06-30 11:48:50.173779,5345.594887667183
2020-07-31 11:48:50.173779,4544.663125189869
2020-08-31 11:48:50.173779,4578.282944616342
2020-09-30 11:48:50.173779,3914.546626502211
2020-10-31 11:48:50.173779,4414.288857370767
2020-11-30 11:48:50.173779,4686.6856571901
2020-12-31 11:48:50.173779,5476.2924054037185
2021-01-31 11:48:50.173779,5650.326484693049
2021-02-28 11:48:50.173779,5799.915278935108
2021-03-31 11:48:50.173779,5842.300370761243
2021-04-30 11:48:50.173779,6284.647530288955
2021-05-31 11:48:50.173779,5365.422890768299
2021-06-30 11:48:50.173779,5280.202283250937
2021-07-31 11:48:50.173779,4253.655927636027
2021-08-31 11:48:50.173779,4454.860825837673
2021-09-30 11:48:50.173779,4077.702334397555
2021-10-31 11:48:50.173779,4342.868599599378
2021-11-30 11:48:50.173779,4245.482755161521
2021-12-31 11:48:50.173779,5565.528912605616
2022-01-31 11:48:50.173779,5776.681421885245
2022-02-28 11:48:50.173779,5951.53913077943
2022-03-31 11:48:50.173779,6385.452380193338
2022-04-30 11:48:50.173779,6237.499309963756
2022-05-31 11:48:50.173779,5636.113896344134
2022-06-30 11:48:50.173779,5740.394881249491
2022-07-31 11:48:50.173779,4477.935593342659
2022-08-31 11:48:50.173779,4289.053544036206
2022-09-30 11:48:50.173779,4599.585444245083
2022-10-31 11:48:50.173779,4411.288503553206
2022-11-30 11:48:50.173779,4800.350881451881
2022-12-31 11:48:50.173779,5152.8889211959895
2023-01-31 11:48:50.173779,6289.500184015917
2023-02-28 11:48:50.173779,6507.83934244222
2023-03-31 11:48:50.173779,7336.112085400778
2023-04-30 11:48:50.173779,6747.16149151151
2023-05-31 11:48:50.173779,6369.982528019456
2023-06-30 11:48:50.173779,5393.65540008245
2023-07-31 11:48:50.173779,5338.716096440236
2023-08-31 11:48:50.173779,4762.132891954947
2023-09-30 11:48:50.173779,4770.083381250943
2023-10-31 11:48:50.173779,4905.620662046522
2023-11-30 11:48:50.173779,4917.18498442851
2023-12-31 11:48:50.173779,5778.900614518969
2024-01-31 11:48:50.173779,6566.700180899339
2024-02-29 11:48:50.173779,6512.165839075127
2024-03-31 11:48:50.173779,6912.617769297519
2024-04-30 11:48:50.173779,6130.4676329586455
2024-05-31 11:48:50.173779,6322.594491666693
2024-06-30 11:48:50.173779,5392.363626707615
2024-07-31 11:48:50.173779,5137.081862418277
2024-08-31 11:48:50.173779,4491.712864859395
2024-09-30 11:48:50.173779,5318.414779550033
