Fecha,Ventas
2020-01-01,1049.6714153011233
2020-02-01,1086.1735698828816
2020-03-01,1237.973934566957
2020-04-01,1352.3029856408025
2020-05-01,1149.789743284554
2020-06-01,1076.586304305082
2020-07-01,1157.9212815507392
2020-08-01,976.7434729152909
2020-09-01,779.8474806496171
2020-10-01,854.2560043585964
2020-11-01,780.4531499618661
2020-12-01,853.4270246429742
2021-01-01,1024.1962271566035
2021-02-01,908.67197553422
2021-03-01,1000.7132975055845
2021-04-01,1143.7712470759027
2021-05-01,1071.9219687234454
2021-06-01,1131.4247332595273
2021-07-01,909.1975924478791
2021-08-01,758.7696298664711
2021-09-01,973.3597961352676
2021-10-01,777.4223699513465
2021-11-01,833.5477397119046
2021-12-01,757.5251813786543
2022-01-01,945.5617275474816
2022-02-01,1111.092258970987
2022-03-01,1058.1057230146573
2022-04-01,1237.5698018345672
2022-05-01,1113.141211765007
2022-06-01,1070.8306250206726
2022-07-01,939.8293387770605
2022-08-01,1085.2278184508941
2022-09-01,825.4451967693191
2022-10-01,694.2289071044099
2022-11-01,909.0494104534312
2022-12-01,777.9156350028977
